SCHOOL CODE,COUNTY,PUBLIC/  PRIVATE,PUBLIC SCHOOL DISTRICT,CITY,SCHOOL NAME,ENROLLMENT,# UP-TO-DATE,% UP-TO-DATE,# CONDITIONAL,% CONDITIONAL,# PME,% PME,# PBE,% PBE,# PRE-JAN PBE,% PRE-JAN PBE,# HEALTH CARE PRACTITIONER COUNSELED PBE,% HEALTH CARE PRACTITIONER COUNSELED PBE,# RELIGIOUS PBE,% RELIGIOUS PBE,# DTP,% DTP,# POLIO,% POLIO,# MMR,% MMR,# HEPB,% HEPB,# VARI,% VARI,REPORTED
130419,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,HAYWARD,ALAMEDA COUNTY COMMUNITY, ,,,,,,,,,,,,,,,,,,,,,,,,,N
109835,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,NEWARK,FAME PUBLIC CHARTER,109,95,87,0,0,0,0,14,13,0,0,0,0,14,13,95,87,95,87,95,87,95,87,95,87,Y
123968,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,COMMUNITY SCHOOL FOR CREATIVE EDUCATION, ,,,,,,,,,,,,,,,,,,,,,,,,,N
6001788,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,COX ACADEMY,115,88,77,25,22,1,1,1,1,0,0,0,0,1,1,103,90,105,91,103,90,104,90,106,92,Y
6002000,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,LAZEAR CHARTER ACADEMY,40,36,90,4,10,0,0,0,0,0,0,0,0,0,0,36,90,38,95,40,100,38,95,39,98,Y
125567,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,URBAN MONTESSORI CHARTER, ,,,,,,,,,,,,,,,,,,,,,,,,,N
124172,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,YU MING CHARTER,52,47,90,0,0,0,0,5,10,0,0,0,0,5,10,47,90,47,90,47,90,47,90,47,90,Y
130401,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,SAN LEANDRO,ALAMEDA COUNTY JUVENILE HALL COURT, ,,,,,,,,,,,,,,,,,,,,,,,,,N
6100374,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,AMELIA EARHART ELEMENTARY,128,125,98,1,1,0,0,2,2,0,0,2,2,0,0,126,98,126,98,125,98,126,98,126,98,Y
6110779,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,BAY FARM,70,69,99,0,0,0,0,1,1,0,0,1,1,0,0,69,99,69,99,69,99,69,99,69,99,Y
6090005,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,DONALD D. LUM ELEMENTARY,100,96,96,1,1,0,0,3,3,0,0,3,3,0,0,97,97,97,97,96,96,97,97,97,97,Y
6090013,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,EDISON ELEMENTARY,70,69,99,0,0,0,0,1,1,0,0,1,1,0,0,69,99,69,99,69,99,69,99,69,99,Y
6090021,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,FRANK OTIS ELEMENTARY,95,88,93,5,5,1,1,1,1,0,0,1,1,0,0,93,98,93,98,93,98,88,93,93,98,Y
6090039,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,FRANKLIN ELEMENTARY,50,49,98,0,0,0,0,1,2,0,0,1,2,0,0,49,98,49,98,49,98,49,98,49,98,Y
6090047,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,HENRY HAIGHT ELEMENTARY,98,95,97,2,2,0,0,1,1,0,0,1,1,0,0,97,99,97,99,95,97,97,99,97,99,Y
126656,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,MAYA LIN,73,66,90,0,0,0,0,7,10,0,0,7,10,0,0,66,90,66,90,66,90,66,90,66,90,Y
119222,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,NEA COMMUNITY LEARNING CENTER,48,45,94,1,2,0,0,2,4,0,0,2,4,0,0,45,94,45,94,45,94,45,94,45,94,Y
111765,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,RUBY BRIDGES ELEMENTARY,91,91,100,0,0,0,0,0,0,0,0,0,0,0,0,91,100,91,100,91,100,91,100,91,100,Y
6090120,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,WILLIAM G. PADEN ELEMENTARY,73,71,97,2,3,0,0,0,0,0,0,0,0,0,0,73,100,73,100,73,100,71,97,73,100,Y
6090146,ALAMEDA,PUBLIC,ALBANY CITY UNIFIED,ALBANY,CORNELL ELEMENTARY,84,54,64,17,20,0,0,13,15,0,0,13,15,0,0,63,75,69,82,61,73,67,80,71,85,Y
6095376,ALAMEDA,PUBLIC,ALBANY CITY UNIFIED,ALBANY,MARIN ELEMENTARY,84,60,71,15,18,0,0,9,11,0,0,9,11,0,0,65,77,71,85,64,76,72,86,70,83,Y
6116222,ALAMEDA,PUBLIC,ALBANY CITY UNIFIED,ALBANY,OCEAN VIEW ELEMENTARY,152,102,67,46,30,0,0,4,3,0,0,4,3,0,0,116,76,131,86,108,71,134,88,137,90,Y
6097729,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,BERKELEY ARTS MAGNET AT WHITTIER, ,,,,,,,,,,,,,,,,,,,,,,,,,N
122804,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,BERKELEY SPECIAL EDUCATION PRESCHOOL, ,,,,,,,,,,,,,,,,,,,,,,,,,N
6090195,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,CRAGMONT ELEMENTARY,80,67,84,7,9,0,0,6,8,0,0,3,4,3,4,68,85,68,85,68,85,74,93,73,91,Y
6090211,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,EMERSON ELEMENTARY,61,49,80,12,20,0,0,0,0,0,0,0,0,0,0,52,85,52,85,53,87,52,85,54,89,Y
6090252,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,JEFFERSON ELEMENTARY,102,76,75,10,10,0,0,16,16,4,4,12,12,0,0,79,77,79,77,79,77,85,83,85,83,Y
6105316,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,JOHN MUIR ELEMENTARY,58,49,84,7,12,1,2,1,2,1,2,0,0,0,0,50,86,52,90,52,90,55,95,56,97,Y
6090278,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,LECONTE ELEMENTARY, ,,,,,,,,,,,,,,,,,,,,,,,,,N
6090286,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,MALCOLM X ELEMENTARY,127,117,92,0,0,0,0,10,8,0,0,10,8,0,0,117,92,117,92,117,92,117,92,117,92,Y
6090302,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,OXFORD ELEMENTARY,40,33,83,7,18,0,0,0,0,0,0,0,0,0,0,36,90,38,95,37,93,38,95,39,98,Y
6090187,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,ROSA PARKS ENVIRONMENTAL SCIENCE MAGNET,63,58,92,5,8,0,0,0,0,0,0,0,0,0,0,59,94,59,94,59,94,59,94,61,97,Y
6090310,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,THOUSAND OAKS ELEMENTARY,63,58,92,5,8,0,0,0,0,0,0,0,0,0,0,60,95,61,97,61,97,61,97,63,100,Y
6090328,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,WASHINGTON ELEMENTARY,74,61,82,11,15,0,0,2,3,1,1,1,1,0,0,64,86,64,86,66,89,65,88,67,91,Y
6090351,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,CASTRO VALLEY ELEMENTARY,119,100,84,19,16,0,0,0,0,0,0,0,0,0,0,108,91,108,91,106,89,106,89,118,99,Y
6090369,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,CHABOT ELEMENTARY,73,72,99,0,0,0,0,1,1,0,0,1,1,0,0,72,99,72,99,72,99,72,99,72,99,Y
6090393,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,INDEPENDENT ELEMENTARY,115,114,99,0,0,1,1,0,0,0,0,0,0,0,0,114,99,114,99,114,99,114,99,114,99,Y
6113005,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,JENSEN RANCH ELEMENTARY,68,66,97,2,3,0,0,0,0,0,0,0,0,0,0,67,99,67,99,67,99,68,100,66,97,Y
6090401,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,MARSHALL ELEMENTARY,69,63,91,6,9,0,0,0,0,0,0,0,0,0,0,65,94,64,93,64,93,68,99,68,99,Y
6090419,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,PALOMARES ELEMENTARY,20,19,95,1,5,0,0,0,0,0,0,0,0,0,0,20,100,20,100,20,100,19,95,20,100,Y
6090435,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,PROCTOR ELEMENTARY,81,80,99,1,1,0,0,0,0,0,0,0,0,0,0,81,100,81,100,81,100,80,99,81,100,Y
6090468,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,STANTON ELEMENTARY,92,90,98,2,2,0,0,0,0,0,0,0,0,0,0,90,98,92,100,91,99,92,100,92,100,Y
6090484,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,VANNOY ELEMENTARY,57,53,93,3,5,0,0,1,2,0,0,1,2,0,0,55,96,56,98,54,95,55,96,56,98,Y
6001374,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,DUBLIN ELEMENTARY,159,121,76,34,21,1,1,3,2,0,0,3,2,0,0,136,86,141,89,132,83,149,94,147,92,Y
6001390,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,FREDERIKSEN ELEMENTARY,151,146,97,3,2,0,0,2,1,1,1,1,1,0,0,148,98,146,97,146,97,147,97,147,97,Y
123935,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,HAROLD WILLIAM KOLB,195,188,96,1,1,3,2,3,2,0,0,3,2,0,0,188,96,188,96,188,96,188,96,188,96,Y
6118038,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,JAMES DOUGHERTY ELEMENTARY,188,173,92,13,7,0,0,2,1,0,0,2,1,0,0,179,95,182,97,177,94,184,98,185,98,Y
114579,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,JOHN GREEN ELEMENTARY,152,148,97,0,0,1,1,3,2,0,0,2,1,1,1,148,97,148,97,148,97,148,97,148,97,Y
6001424,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,MURRAY ELEMENTARY,87,83,95,2,2,0,0,2,2,0,0,0,0,2,2,83,95,83,95,83,95,83,95,85,98,Y
6090492,ALAMEDA,PUBLIC,EMERY UNIFIED,EMERYVILLE,ANNA YATES ELEMENTARY,62,31,50,28,45,0,0,3,5,0,0,3,5,0,0,34,55,33,53,37,60,55,89,57,92,Y
119933,ALAMEDA,PUBLIC,EMERY UNIFIED,EMERYVILLE,EMERYVILLE PRESCHOOL STUDENTS, ,,,,,,,,,,,,,,,,,,,,,,,,,N
6104723,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,ARDENWOOD ELEMENTARY,160,151,94,8,5,0,0,1,1,0,0,1,1,0,0,155,97,155,97,154,96,159,99,159,99,Y
6000558,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,BRIER ELEMENTARY,137,133,97,2,1,0,0,2,1,0,0,2,1,0,0,133,97,134,98,134,98,134,98,135,99,Y
6089320,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,BROOKVALE ELEMENTARY,206,200,97,1,0,0,0,5,2,1,0,4,2,0,0,200,97,200,97,200,97,201,98,201,98,Y
